id,brand,title,price,mrp,discount,category,occasion,material
"1","H&M","H&M Abstract Print Cotton Top for Women","7050","7900","11","Top","wedding","cotton"
"2","Zara","Zara Printed Silk Casual Top for Women","3900","4400","11","Top","wedding","silk"
"3","Mango","Mango Embroidered Linen Kurti for Women","8200","9450","13","Top","wedding","linen"
"4","Uniqlo","Uniqlo Polka Dot Denim Blouse for Women","1450","1550","7","Top","wedding","denim"
"5","ONLY","ONLY Striped Chiffon Shirt for Women","1650","1750","5","Top","wedding","chiffon"
"6","BIBA","BIBA Velvet Cold Shoulder Top for Women","3200","3550","10","Top","wedding","velvet"
"7","W for Woman","W for Woman Georgette Wrap Top with Tie-Up for Women","4250","4850","12","Top","wedding","georgette"
"8","FabIndia","FabIndia Knit V-Neck Fitted Top for Women","4150","4850","14","Top","wedding","knit"
"9","Gucci","Gucci Rayon Cold Shoulder Top for Women","272350","309500","12","Top","wedding","rayon"
"10","Louis Vuitton","Louis Vuitton Satin Smocked Top for Women","372500","423300","12","Top","wedding","satin"
"11","Forever 21","Forever 21 Sheer Polyester Overlay Top for Women","2800","3100","10","Top","wedding","polyester"
"12","H&M","H&M Floral Viscose Midi Skirt for Women","1950","2050","5","Bottom","wedding","viscose"
"13","Zara","Zara Cotton Pencil Skirt for Women","13000","14600","11","Bottom","wedding","cotton"
"14","Mango","Mango Silk Wide-Leg Trousers for Women","13250","15400","14","Bottom","wedding","silk"
"15","Uniqlo","Uniqlo Striped Linen Shorts for Women","7250","8250","12","Bottom","wedding","linen"
"16","ONLY","ONLY Striped Denim Shorts for Women","1250","1450","13","Bottom","wedding","denim"
"17","BIBA","BIBA Printed Chiffon Leggings for Women","6950","8000","13","Bottom","wedding","chiffon"
"18","W for Woman","W for Woman Velvet Track Pants for Women","3800","4400","14","Bottom","wedding","velvet"
"19","FabIndia","FabIndia Georgette Jogger Pants for Women","4700","5000","6","Bottom","wedding","georgette"
"20","Gucci","Gucci Knit Palazzo Pants for Women","90000","97850","8","Bottom","wedding","knit"
"21","Louis Vuitton","Louis Vuitton Pleated Rayon A-Line Skirt for Women","243050","267100","9","Bottom","wedding","rayon"
"22","Forever 21","Forever 21 Floral Satin Midi Skirt for Women","1400","1550","9","Bottom","wedding","satin"
"23","H&M","H&M Polyester Asymmetric Hem Dress for Women","1550","1750","11","Dress","wedding","polyester"
"24","Zara","Zara Viscose Shirt Dress for Women","6500","7050","8","Dress","wedding","viscose"
"25","Mango","Mango Embroidered Cotton Anarkali for Women","15150","16100","6","Dress","wedding","cotton"
"26","Uniqlo","Uniqlo Embroidered Silk Anarkali for Women","2350","2750","15","Dress","wedding","silk"
"27","ONLY","ONLY Ruched Linen Evening Dress for Women","5950","6450","8","Dress","wedding","linen"
"28","BIBA","BIBA Tiered Denim Boho Dress for Women","5000","5600","11","Dress","wedding","denim"
"29","W for Woman","W for Woman Balloon Sleeve Chiffon Dress for Women","3500","4000","12","Dress","wedding","chiffon"
"30","FabIndia","FabIndia Printed Velvet Shift Dress for Women","12000","13500","11","Dress","wedding","velvet"
"31","Gucci","Gucci Floral Georgette Maxi Dress for Women","338500","376100","10","Dress","wedding","georgette"
"32","Louis Vuitton","Louis Vuitton Knit Slip Dress for Women","114350","122950","7","Dress","wedding","knit"
"33","Forever 21","Forever 21 Rayon Pleated Sundress for Women","1100","1250","11","Dress","wedding","rayon"
"34","H&M","H&M Embroidered Satin Ethnic Set for Women","6700","7700","13","Ethnic Set","wedding","satin"
"35","Zara","Zara Polyester Bridal Lehenga Set for Women","14000","14750","5","Ethnic Set","wedding","polyester"
"36","Mango","Mango Viscose Straight Kurta with Dupatta for Women","12750","13700","7","Ethnic Set","wedding","viscose"
"37","Uniqlo","Uniqlo Cotton Sharara Set for Women","1200","1400","14","Ethnic Set","wedding","cotton"
"38","ONLY","ONLY Silk Gown Style Kurta for Women","4450","5250","15","Ethnic Set","wedding","silk"
"39","BIBA","BIBA Linen Saree with Blouse for Women","3000","3450","13","Ethnic Set","wedding","linen"
"40","W for Woman","W for Woman Denim Festival Outfit Set for Women","2300","2500","8","Ethnic Set","wedding","denim"
"41","FabIndia","FabIndia Embroidered Chiffon Ethnic Set for Women","13800","16250","15","Ethnic Set","wedding","chiffon"
"42","Gucci","Gucci Velvet Gown Style Kurta for Women","498700","586700","15","Ethnic Set","wedding","velvet"
"43","Louis Vuitton","Louis Vuitton Georgette Saree with Blouse for Women","291700","324100","10","Ethnic Set","wedding","georgette"
"44","Forever 21","Forever 21 Knit Gown Style Kurta for Women","2500","2850","13","Ethnic Set","wedding","knit"
"45","H&M","H&M Rayon Bomber Jacket for Women","2900","3050","5","Outerwear","wedding","rayon"
"46","Zara","Zara Satin Double-Breasted Coat for Women","11650","13400","13","Outerwear","wedding","satin"
"47","Mango","Mango Polyester Shrug for Women","10400","11550","10","Outerwear","wedding","polyester"
"48","Uniqlo","Uniqlo Viscose Puffer Jacket for Women","1000","1100","10","Outerwear","wedding","viscose"
"49","ONLY","ONLY Cropped Cotton Jacket for Women","4650","4900","5","Outerwear","wedding","cotton"
"50","BIBA","BIBA Silk Bomber Jacket for Women","9050","9650","6","Outerwear","wedding","silk"
"51","W for Woman","W for Woman Linen Blazer for Women","3750","4200","11","Outerwear","wedding","linen"
"52","FabIndia","FabIndia Denim Overcoat for Women","13500","14350","6","Outerwear","wedding","denim"
"53","Gucci","Gucci Chiffon Puffer Jacket for Women","193650","210500","8","Outerwear","wedding","chiffon"
"54","Louis Vuitton","Louis Vuitton Velvet Cape Jacket for Women","867100","1020100","15","Outerwear","wedding","velvet"
"55","Forever 21","Forever 21 Georgette Overcoat for Women","1100","1200","9","Outerwear","wedding","georgette"
"56","H&M","H&M Knit Belted Jumpsuit for Women","7900","8700","9","Jumpsuit","wedding","knit"
"57","Zara","Zara Halter Neck Rayon Jumpsuit for Women","2400","2800","15","Jumpsuit","wedding","rayon"
"58","Mango","Mango Floral Satin Playsuit for Women","6600","6950","5","Jumpsuit","wedding","satin"
"59","Uniqlo","Uniqlo Polyester Utility Jumpsuit for Women","7800","8500","8","Jumpsuit","wedding","polyester"
"60","ONLY","ONLY Off-Shoulder Viscose Jumpsuit for Women","4850","5700","15","Jumpsuit","wedding","viscose"
"61","BIBA","BIBA Cotton Utility Jumpsuit for Women","12000","13650","12","Jumpsuit","wedding","cotton"
"62","W for Woman","W for Woman Silk Utility Jumpsuit for Women","8100","8700","7","Jumpsuit","wedding","silk"
"63","FabIndia","FabIndia Linen Utility Jumpsuit for Women","1400","1600","13","Jumpsuit","wedding","linen"
"64","Gucci","Gucci Ruched Denim Playsuit for Women","233050","264850","12","Jumpsuit","wedding","denim"
"65","Louis Vuitton","Louis Vuitton Floral Chiffon Playsuit for Women","144750","162650","11","Jumpsuit","wedding","chiffon"
"66","Forever 21","Forever 21 Printed Velvet Romper for Women","3700","4350","15","Jumpsuit","wedding","velvet"
"67","H&M","H&M Striped Georgette Shirt for Women","5650","6200","9","Top","party","georgette"
"68","Zara","Zara Embroidered Knit Kurti for Women","7100","7650","7","Top","party","knit"
"69","Mango","Mango Printed Rayon Casual Top for Women","9100","10700","15","Top","party","rayon"
"70","Uniqlo","Uniqlo Satin Smocked Top for Women","5500","6450","15","Top","party","satin"
"71","ONLY","ONLY Sheer Polyester Overlay Top for Women","5250","6100","14","Top","party","polyester"
"72","BIBA","BIBA Viscose Button-Down Shirt for Women","6750","7200","6","Top","party","viscose"
"73","W for Woman","W for Woman Cotton Button-Down Shirt for Women","5950","6400","7","Top","party","cotton"
"74","FabIndia","FabIndia Polka Dot Silk Blouse for Women","2650","3000","11","Top","party","silk"
"75","Gucci","Gucci Linen V-Neck Fitted Top for Women","373700","401850","7","Top","party","linen"
"76","Louis Vuitton","Louis Vuitton Tie-Dye Denim Tank Top for Women","123350","129850","5","Top","party","denim"
"77","Forever 21","Forever 21 Chiffon Smocked Top for Women","700","750","6","Top","party","chiffon"
"78","H&M","H&M Velvet Jogger Pants for Women","4400","4650","5","Bottom","party","velvet"
"79","Zara","Zara Georgette Bermuda Shorts for Women","8500","9350","9","Bottom","party","georgette"
"80","Mango","Mango Pleated Knit A-Line Skirt for Women","5600","6300","11","Bottom","party","knit"
"81","Uniqlo","Uniqlo Rayon Bermuda Shorts for Women","4650","5450","15","Bottom","party","rayon"
"82","ONLY","ONLY Satin Palazzo Pants for Women","3000","3350","11","Bottom","party","satin"
"83","BIBA","BIBA Ethnic Polyester Patiala for Women","1650","1800","8","Bottom","party","polyester"
"84","W for Woman","W for Woman Viscose Layered Skirt for Women","1100","1200","9","Bottom","party","viscose"
"85","FabIndia","FabIndia Cotton Wide-Leg Trousers for Women","14800","15750","6","Bottom","party","cotton"
"86","Gucci","Gucci Silk Pencil Skirt for Women","357100","375900","5","Bottom","party","silk"
"87","Louis Vuitton","Louis Vuitton Linen Palazzo Pants for Women","896700","1030700","13","Bottom","party","linen"
"88","Forever 21","Forever 21 Denim Palazzo Pants for Women","3450","3650","5","Bottom","party","denim"
"89","H&M","H&M Chiffon Puff Sleeve Dress for Women","7650","8400","9","Dress","party","chiffon"
"90","Zara","Zara Tiered Velvet Boho Dress for Women","5650","6550","14","Dress","party","velvet"
"91","Mango","Mango Embroidered Georgette Anarkali for Women","1900","2100","9","Dress","party","georgette"
"92","Uniqlo","Uniqlo Ruched Knit Evening Dress for Women","7200","8100","11","Dress","party","knit"
"93","ONLY","ONLY Floral Rayon Maxi Dress for Women","3500","4000","13","Dress","party","rayon"
"94","BIBA","BIBA Satin Asymmetric Hem Dress for Women","5650","6350","11","Dress","party","satin"
"95","W for Woman","W for Woman Polyester Asymmetric Hem Dress for Women","6350","7150","11","Dress","party","polyester"
"96","FabIndia","FabIndia Viscose Pleated Sundress for Women","12350","13000","5","Dress","party","viscose"
"97","Gucci","Gucci Halter Cotton Backless Dress for Women","201400","214250","6","Dress","party","cotton"
"98","Louis Vuitton","Louis Vuitton Silk Bodycon Midi Dress for Women","170350","198100","14","Dress","party","silk"
"99","Forever 21","Forever 21 Ruched Linen Evening Dress for Women","3200","3450","7","Dress","party","linen"
"100","H&M","H&M Embroidered Denim Ethnic Set for Women","5900","6200","5","Ethnic Set","party","denim"
"101","Zara","Zara Chiffon Kurti with Churidar for Women","2300","2500","8","Ethnic Set","party","chiffon"
"102","Mango","Mango Velvet Kurta with Palazzo Set for Women","12000","13650","12","Ethnic Set","party","velvet"
"103","Uniqlo","Uniqlo Georgette Sharara Set for Women","3200","3750","15","Ethnic Set","party","georgette"
"104","ONLY","ONLY Knit Indo-Western Fusion Set for Women","1600","1850","14","Ethnic Set","party","knit"
"105","BIBA","BIBA Rayon Kurta with Palazzo Set for Women","10050","11700","14","Ethnic Set","party","rayon"
"106","W for Woman","W for Woman Satin Patiala Suit Set for Women","4700","5050","7","Ethnic Set","party","satin"
"107","FabIndia","FabIndia Polyester Patiala Suit Set for Women","14550","16350","11","Ethnic Set","party","polyester"
"108","Gucci","Gucci Viscose Gown Style Kurta for Women","285300","313500","9","Ethnic Set","party","viscose"
"109","Louis Vuitton","Louis Vuitton Cotton Salwar Kameez Set for Women","713100","819650","13","Ethnic Set","party","cotton"
"110","Forever 21","Forever 21 Silk Saree with Blouse for Women","3050","3200","5","Ethnic Set","party","silk"
"111","H&M","H&M Linen Overcoat for Women","6100","6400","5","Outerwear","party","linen"
"112","Zara","Zara Denim Trench Coat for Women","5850","6450","9","Outerwear","party","denim"
"113","Mango","Mango Chiffon Denim Jacket for Women","2650","2950","10","Outerwear","party","chiffon"
"114","Uniqlo","Uniqlo Velvet Puffer Jacket for Women","3250","3650","11","Outerwear","party","velvet"
"115","ONLY","ONLY Georgette Denim Jacket for Women","4600","5000","8","Outerwear","party","georgette"
"116","BIBA","BIBA Knit Double-Breasted Coat for Women","1750","1900","8","Outerwear","party","knit"
"117","W for Woman","W for Woman Rayon Puffer Jacket for Women","5200","6050","14","Outerwear","party","rayon"
"118","FabIndia","FabIndia Satin Cape Jacket for Women","2050","2350","12","Outerwear","party","satin"
"119","Gucci","Gucci Polyester Blazer for Women","247450","284450","13","Outerwear","party","polyester"
"120","Louis Vuitton","Louis Vuitton Viscose Puffer Jacket for Women","423250","475550","11","Outerwear","party","viscose"
"121","Forever 21","Forever 21 Cotton Denim Jacket for Women","2450","2800","12","Outerwear","party","cotton"
"122","H&M","H&M Silk Strapless Jumpsuit for Women","4350","4650","6","Jumpsuit","party","silk"
"123","Zara","Zara Ruched Linen Playsuit for Women","7550","8100","7","Jumpsuit","party","linen"
"124","Mango","Mango Halter Neck Denim Jumpsuit for Women","6400","6900","7","Jumpsuit","party","denim"
"125","Uniqlo","Uniqlo Halter Neck Chiffon Jumpsuit for Women","5950","6850","13","Jumpsuit","party","chiffon"
"126","ONLY","ONLY Velvet Wide-Leg Jumpsuit for Women","4100","4300","5","Jumpsuit","party","velvet"
"127","BIBA","BIBA Georgette Co-ord Set for Women","4900","5150","5","Jumpsuit","party","georgette"
"128","W for Woman","W for Woman Knit Belted Jumpsuit for Women","9800","10550","7","Jumpsuit","party","knit"
"129","FabIndia","FabIndia Printed Rayon Romper for Women","9300","10350","10","Jumpsuit","party","rayon"
"130","Gucci","Gucci Off-Shoulder Satin Jumpsuit for Women","277150","314950","12","Jumpsuit","party","satin"
"131","Louis Vuitton","Louis Vuitton Polyester Wide-Leg Jumpsuit for Women","736050","827000","11","Jumpsuit","party","polyester"
"132","Forever 21","Forever 21 Viscose Belted Jumpsuit for Women","3200","3450","7","Jumpsuit","party","viscose"
"133","H&M","H&M Cotton V-Neck Fitted Top for Women","4850","5200","7","Top","casual","cotton"
"134","Zara","Zara Polka Dot Silk Blouse for Women","4800","5450","12","Top","casual","silk"
"135","Mango","Mango Solid Linen Sleeveless Top for Women","5700","6550","13","Top","casual","linen"
"136","Uniqlo","Uniqlo Denim Ruffled Sleeve Top for Women","7000","7600","8","Top","casual","denim"
"137","ONLY","ONLY Solid Chiffon Sleeveless Top for Women","1850","2000","7","Top","casual","chiffon"
"138","BIBA","BIBA Tie-Dye Velvet Tank Top for Women","2250","2550","12","Top","casual","velvet"
"139","W for Woman","W for Woman Floral Print Georgette Crop Top for Women","6750","7950","15","Top","casual","georgette"
"140","FabIndia","FabIndia Striped Knit Shirt for Women","13800","15700","12","Top","casual","knit"
"141","Gucci","Gucci Abstract Print Rayon Top for Women","198250","225300","12","Top","casual","rayon"
"142","Louis Vuitton","Louis Vuitton Satin Cold Shoulder Top for Women","957550","1040800","8","Top","casual","satin"
"143","Forever 21","Forever 21 Striped Polyester Shirt for Women","850","1000","15","Top","casual","polyester"
"144","H&M","H&M Printed Viscose Leggings for Women","1400","1650","15","Bottom","casual","viscose"
"145","Zara","Zara High-Rise Cotton Jeans for Women","6350","6700","5","Bottom","casual","cotton"
"146","Mango","Mango Silk Bermuda Shorts for Women","14100","14850","5","Bottom","casual","silk"
"147","Uniqlo","Uniqlo Pleated Linen Mini Skirt for Women","9700","11150","13","Bottom","casual","linen"
"148","ONLY","ONLY Printed Denim Leggings for Women","6400","7450","14","Bottom","casual","denim"
"149","BIBA","BIBA Ethnic Chiffon Patiala for Women","6050","6900","12","Bottom","casual","chiffon"
"150","W for Woman","W for Woman Pleated Velvet A-Line Skirt for Women","5750","6450","11","Bottom","casual","velvet"
"151","FabIndia","FabIndia Pleated Georgette A-Line Skirt for Women","8450","9200","8","Bottom","casual","georgette"
"152","Gucci","Gucci Flared Knit Skirt for Women","118800","132000","10","Bottom","casual","knit"
"153","Louis Vuitton","Louis Vuitton High-Rise Rayon Jeans for Women","320300","352000","9","Bottom","casual","rayon"
"154","Forever 21","Forever 21 Satin Jogger Pants for Women","3700","3900","5","Bottom","casual","satin"
"155","H&M","H&M Polyester Shirt Dress for Women","7950","8850","10","Dress","casual","polyester"
"156","Zara","Zara Off-Shoulder Viscose Mini Dress for Women","3900","4300","9","Dress","casual","viscose"
"157","Mango","Mango Vintage Cotton Tea Dress for Women","9550","10250","7","Dress","casual","cotton"
"158","Uniqlo","Uniqlo Silk Pleated Sundress for Women","7150","7550","5","Dress","casual","silk"
"159","ONLY","ONLY Sequin Linen Cocktail Dress for Women","6650","7450","11","Dress","casual","linen"
"160","BIBA","BIBA Denim Asymmetric Hem Dress for Women","5800","6600","12","Dress","casual","denim"
"161","W for Woman","W for Woman Wrap Chiffon Dress for Women","9350","10850","14","Dress","casual","chiffon"
"162","FabIndia","FabIndia Ruched Velvet Evening Dress for Women","4150","4600","10","Dress","casual","velvet"
"163","Gucci","Gucci Georgette Puff Sleeve Dress for Women","398950","433650","8","Dress","casual","georgette"
"164","Louis Vuitton","Louis Vuitton Ruched Knit Evening Dress for Women","456250","480250","5","Dress","casual","knit"
"165","Forever 21","Forever 21 Rayon Pleated Sundress for Women","3550","3800","7","Dress","casual","rayon"
"166","H&M","H&M Satin Salwar Kameez Set for Women","6850","7450","8","Ethnic Set","casual","satin"
"167","Zara","Zara Polyester Straight Kurta with Dupatta for Women","3700","3950","6","Ethnic Set","casual","polyester"
"168","Mango","Mango Viscose Indo-Western Fusion Set for Women","11350","12450","9","Ethnic Set","casual","viscose"
"169","Uniqlo","Uniqlo Cotton Kurti with Churidar for Women","1100","1300","14","Ethnic Set","casual","cotton"
"170","ONLY","ONLY Silk Indo-Western Fusion Set for Women","5600","6450","13","Ethnic Set","casual","silk"
"171","BIBA","BIBA Linen Lehenga Choli for Women","900","1000","12","Ethnic Set","casual","linen"
"172","W for Woman","W for Woman Denim Kurta with Palazzo Set for Women","4750","5050","6","Ethnic Set","casual","denim"
"173","FabIndia","FabIndia Chiffon Sharara Set for Women","4550","5100","11","Ethnic Set","casual","chiffon"
"174","Gucci","Gucci Velvet Gown Style Kurta for Women","277750","319250","13","Ethnic Set","casual","velvet"
"175","Louis Vuitton","Louis Vuitton Georgette Bridal Lehenga Set for Women","317800","369550","14","Ethnic Set","casual","georgette"
"176","Forever 21","Forever 21 Knit Lehenga Choli for Women","1450","1600","9","Ethnic Set","casual","knit"
"177","H&M","H&M Rayon Trench Coat for Women","2100","2300","9","Outerwear","casual","rayon"
"178","Zara","Zara Satin Shrug for Women","13450","15300","12","Outerwear","casual","satin"
"179","Mango","Mango Polyester Puffer Jacket for Women","3100","3500","11","Outerwear","casual","polyester"
"180","Uniqlo","Uniqlo Viscose Denim Jacket for Women","9450","10400","9","Outerwear","casual","viscose"
"181","ONLY","ONLY Cotton Puffer Jacket for Women","1650","1900","13","Outerwear","casual","cotton"
"182","BIBA","BIBA Silk Double-Breasted Coat for Women","7800","8550","9","Outerwear","casual","silk"
"183","W for Woman","W for Woman Linen Double-Breasted Coat for Women","7200","7900","9","Outerwear","casual","linen"
"184","FabIndia","FabIndia Denim Trench Coat for Women","10150","11400","11","Outerwear","casual","denim"
"185","Gucci","Gucci Chiffon Overcoat for Women","201400","221300","9","Outerwear","casual","chiffon"
"186","Louis Vuitton","Louis Vuitton Velvet Blazer for Women","995300","1058850","6","Outerwear","casual","velvet"
"187","Forever 21","Forever 21 Georgette Denim Jacket for Women","1700","1950","12","Outerwear","casual","georgette"
"188","H&M","H&M Off-Shoulder Knit Jumpsuit for Women","4750","5150","8","Jumpsuit","casual","knit"
"189","Zara","Zara Floral Rayon Playsuit for Women","2200","2400","8","Jumpsuit","casual","rayon"
"190","Mango","Mango Off-Shoulder Satin Jumpsuit for Women","10900","12400","12","Jumpsuit","casual","satin"
"191","Uniqlo","Uniqlo Printed Polyester Romper for Women","3050","3600","15","Jumpsuit","casual","polyester"
"192","ONLY","ONLY Viscose Strapless Jumpsuit for Women","750","900","15","Jumpsuit","casual","viscose"
"193","BIBA","BIBA Cotton Wide-Leg Jumpsuit for Women","3800","4100","7","Jumpsuit","casual","cotton"
"194","W for Woman","W for Woman Silk Strapless Jumpsuit for Women","6000","6900","13","Jumpsuit","casual","silk"
"195","FabIndia","FabIndia Linen Co-ord Set for Women","12950","13800","6","Jumpsuit","casual","linen"
"196","Gucci","Gucci Floral Denim Playsuit for Women","378650","430300","12","Jumpsuit","casual","denim"
"197","Louis Vuitton","Louis Vuitton Halter Neck Chiffon Jumpsuit for Women","691400","768200","10","Jumpsuit","casual","chiffon"
"198","Forever 21","Forever 21 Floral Velvet Playsuit for Women","3850","4350","11","Jumpsuit","casual","velvet"
"199","H&M","H&M Polka Dot Georgette Blouse for Women","7850","8350","6","Top","formal","georgette"
"200","Zara","Zara Solid Knit Sleeveless Top for Women","13200","14200","7","Top","formal","knit"
"201","Mango","Mango Lace Trim Rayon Blouse for Women","14500","17050","15","Top","formal","rayon"
"202","Uniqlo","Uniqlo Polka Dot Satin Blouse for Women","4250","4950","14","Top","formal","satin"
"203","ONLY","ONLY Tie-Dye Polyester Tank Top for Women","7750","8500","9","Top","formal","polyester"
"204","BIBA","BIBA Viscose V-Neck Fitted Top for Women","6150","7050","13","Top","formal","viscose"
"205","W for Woman","W for Woman Cotton Off-Shoulder Blouse for Women","8200","8900","8","Top","formal","cotton"
"206","FabIndia","FabIndia Striped Silk Shirt for Women","12950","14700","12","Top","formal","silk"
"207","Gucci","Gucci Cutout Detail Linen Top for Women","104300","113350","8","Top","formal","linen"
"208","Louis Vuitton","Louis Vuitton Denim Smocked Top for Women","650100","714400","9","Top","formal","denim"
"209","Forever 21","Forever 21 Abstract Print Chiffon Top for Women","2350","2600","10","Top","formal","chiffon"
"210","H&M","H&M Velvet Track Pants for Women","1650","1800","8","Bottom","formal","velvet"
"211","Zara","Zara Pleated Georgette A-Line Skirt for Women","8100","8800","8","Bottom","formal","georgette"
"212","Mango","Mango Distressed Knit Denim Shorts for Women","2950","3400","13","Bottom","formal","knit"
"213","Uniqlo","Uniqlo Rayon Cargo Pants for Women","5700","6200","8","Bottom","formal","rayon"
"214","ONLY","ONLY Satin Culottes for Women","950","1050","9","Bottom","formal","satin"
"215","BIBA","BIBA Polyester Palazzo Pants for Women","3150","3300","5","Bottom","formal","polyester"
"216","W for Woman","W for Woman Pleated Viscose Mini Skirt for Women","4500","4900","8","Bottom","formal","viscose"
"217","FabIndia","FabIndia Flared Cotton Skirt for Women","10800","11600","7","Bottom","formal","cotton"
"218","Gucci","Gucci Silk Cargo Pants for Women","118700","129000","8","Bottom","formal","silk"
"219","Louis Vuitton","Louis Vuitton Linen Culottes for Women","439000","510450","14","Bottom","formal","linen"
"220","Forever 21","Forever 21 Denim Jogger Pants for Women","2200","2350","6","Bottom","formal","denim"
"221","H&M","H&M Chiffon Shirt Dress for Women","2050","2300","11","Dress","formal","chiffon"
"222","Zara","Zara Vintage Velvet Tea Dress for Women","11100","12450","11","Dress","formal","velvet"
"223","Mango","Mango Wrap Georgette Dress for Women","17000","18700","9","Dress","formal","georgette"
"224","Uniqlo","Uniqlo Knit A-Line Party Dress for Women","1000","1050","6","Dress","formal","knit"
"225","ONLY","ONLY Sequin Rayon Cocktail Dress for Women","2750","3200","14","Dress","formal","rayon"
"226","BIBA","BIBA Balloon Sleeve Satin Dress for Women","7800","8300","6","Dress","formal","satin"
"227","W for Woman","W for Woman Floral Polyester Maxi Dress for Women","7950","9250","14","Dress","formal","polyester"
"228","FabIndia","FabIndia Off-Shoulder Viscose Mini Dress for Women","7150","8300","14","Dress","formal","viscose"
"229","Gucci","Gucci Printed Cotton Shift Dress for Women","77000","84600","9","Dress","formal","cotton"
"230","Louis Vuitton","Louis Vuitton Tiered Silk Boho Dress for Women","667450","741600","10","Dress","formal","silk"
"231","Forever 21","Forever 21 Linen Bodycon Midi Dress for Women","3350","3700","9","Dress","formal","linen"
"232","H&M","H&M Denim Patiala Suit Set for Women","4400","5000","12","Ethnic Set","formal","denim"
"233","Zara","Zara Chiffon Gown Style Kurta for Women","6650","7050","6","Ethnic Set","formal","chiffon"
"234","Mango","Mango Velvet Festival Outfit Set for Women","15850","17400","9","Ethnic Set","formal","velvet"
"235","Uniqlo","Uniqlo Georgette Anarkali Suit Set for Women","3650","3850","5","Ethnic Set","formal","georgette"
"236","ONLY","ONLY Knit Festival Outfit Set for Women","5600","6350","12","Ethnic Set","formal","knit"
"237","BIBA","BIBA Rayon Kurta with Palazzo Set for Women","9250","10750","14","Ethnic Set","formal","rayon"
"238","W for Woman","W for Woman Embroidered Satin Ethnic Set for Women","8000","8800","9","Ethnic Set","formal","satin"
"239","FabIndia","FabIndia Polyester Salwar Kameez Set for Women","10650","12400","14","Ethnic Set","formal","polyester"
"240","Gucci","Gucci Viscose Patiala Suit Set for Women","498000","541300","8","Ethnic Set","formal","viscose"
"241","Louis Vuitton","Louis Vuitton Cotton Saree with Blouse for Women","446200","501350","11","Ethnic Set","formal","cotton"
"242","Forever 21","Forever 21 Silk Gown Style Kurta for Women","3500","3950","11","Ethnic Set","formal","silk"
"243","H&M","H&M Linen Denim Jacket for Women","6150","6550","6","Outerwear","formal","linen"
"244","Zara","Zara Denim Bomber Jacket for Women","11850","12600","6","Outerwear","formal","denim"
"245","Mango","Mango Chiffon Overcoat for Women","14050","16150","13","Outerwear","formal","chiffon"
"246","Uniqlo","Uniqlo Velvet Blazer for Women","2200","2400","8","Outerwear","formal","velvet"
"247","ONLY","ONLY Georgette Cape Jacket for Women","4750","5150","8","Outerwear","formal","georgette"
"248","BIBA","BIBA Knit Puffer Jacket for Women","9500","10350","8","Outerwear","formal","knit"
"249","W for Woman","W for Woman Rayon Puffer Jacket for Women","8650","9100","5","Outerwear","formal","rayon"
"250","FabIndia","FabIndia Satin Overcoat for Women","14850","17250","14","Outerwear","formal","satin"
"251","Gucci","Gucci Polyester Denim Jacket for Women","141650","164700","14","Outerwear","formal","polyester"
