id,brand,title,price,mrp,discount,category,occasion,material
"252","Louis Vuitton","Louis Vuitton Viscose Puffer Jacket for Women","135750","142900","5","Outerwear","formal","viscose"
"253","Forever 21","Forever 21 Cotton Denim Jacket for Women","2550","2750","7","Outerwear","formal","cotton"
"254","H&M","H&M Floral Silk Playsuit for Women","7700","8300","7","Jumpsuit","formal","silk"
"255","Zara","Zara Floral Linen Playsuit for Women","14550","16700","13","Jumpsuit","formal","linen"
"256","Mango","Mango Ruched Denim Playsuit for Women","9100","10700","15","Jumpsuit","formal","denim"
"257","Uniqlo","Uniqlo Floral Chiffon Playsuit for Women","5000","5900","15","Jumpsuit","formal","chiffon"
"258","ONLY","ONLY Velvet Co-ord Set for Women","6350","6900","8","Jumpsuit","formal","velvet"
"259","BIBA","BIBA Floral Georgette Playsuit for Women","7000","8250","15","Jumpsuit","formal","georgette"
"260","W for Woman","W for Woman Knit Strapless Jumpsuit for Women","6600","6950","5","Jumpsuit","formal","knit"
"261","FabIndia","FabIndia Printed Rayon Romper for Women","11750","13800","15","Jumpsuit","formal","rayon"
"262","Gucci","Gucci Off-Shoulder Satin Jumpsuit for Women","262900","285750","8","Jumpsuit","formal","satin"
"263","Louis Vuitton","Louis Vuitton Halter Neck Polyester Jumpsuit for Women","908550","956350","5","Jumpsuit","formal","polyester"
"264","Forever 21","Forever 21 Viscose Utility Jumpsuit for Women","1350","1600","15","Jumpsuit","formal","viscose"
"265","H&M","H&M Cotton Cold Shoulder Top for Women","2400","2550","5","Top","date-night","cotton"
"266","Zara","Zara Silk Ruffled Sleeve Top for Women","4300","4550","5","Top","date-night","silk"
"267","Mango","Mango Linen Button-Down Shirt for Women","12150","12800","5","Top","date-night","linen"
"268","Uniqlo","Uniqlo Denim Button-Down Shirt for Women","5950","6550","9","Top","date-night","denim"
"269","ONLY","ONLY Abstract Print Chiffon Top for Women","4100","4650","12","Top","date-night","chiffon"
"270","BIBA","BIBA Polka Dot Velvet Blouse for Women","6500","7000","7","Top","date-night","velvet"
"271","W for Woman","W for Woman Solid Georgette Sleeveless Top for Women","3950","4250","7","Top","date-night","georgette"
"272","FabIndia","FabIndia Knit Off-Shoulder Blouse for Women","2000","2100","5","Top","date-night","knit"
"273","Gucci","Gucci Polka Dot Rayon Blouse for Women","348000","400000","13","Top","date-night","rayon"
"274","Louis Vuitton","Louis Vuitton Satin Button-Down Shirt for Women","865000","961100","10","Top","date-night","satin"
"275","Forever 21","Forever 21 Polyester Peplum Top for Women","2400","2800","15","Top","date-night","polyester"
"276","H&M","H&M Pleated Viscose A-Line Skirt for Women","5800","6650","13","Bottom","date-night","viscose"
"277","Zara","Zara Cotton Track Pants for Women","3100","3650","15","Bottom","date-night","cotton"
"278","Mango","Mango Silk Culottes for Women","12650","14200","11","Bottom","date-night","silk"
"279","Uniqlo","Uniqlo Distressed Linen Denim Shorts for Women","9350","10750","13","Bottom","date-night","linen"
"280","ONLY","ONLY Denim Culottes for Women","2400","2600","8","Bottom","date-night","denim"
"281","BIBA","BIBA Chiffon Culottes for Women","2000","2150","8","Bottom","date-night","chiffon"
"282","W for Woman","W for Woman Velvet Layered Skirt for Women","4750","5300","10","Bottom","date-night","velvet"
"283","FabIndia","FabIndia Georgette High-Slit Maxi Skirt for Women","14400","16750","14","Bottom","date-night","georgette"
"284","Gucci","Gucci Striped Knit Shorts for Women","323950","356000","9","Bottom","date-night","knit"
"285","Louis Vuitton","Louis Vuitton Rayon Track Pants for Women","921950","1002100","8","Bottom","date-night","rayon"
"286","Forever 21","Forever 21 Flared Satin Skirt for Women","3200","3750","15","Bottom","date-night","satin"
"287","H&M","H&M Polyester Shirt Dress for Women","5900","6800","13","Dress","date-night","polyester"
"288","Zara","Zara Sequin Viscose Cocktail Dress for Women","14950","15750","5","Dress","date-night","viscose"
"289","Mango","Mango Halter Cotton Backless Dress for Women","15600","17750","12","Dress","date-night","cotton"
"290","Uniqlo","Uniqlo Off-Shoulder Silk Mini Dress for Women","8750","9700","10","Dress","date-night","silk"
"291","ONLY","ONLY Vintage Linen Tea Dress for Women","6500","7300","11","Dress","date-night","linen"
"292","BIBA","BIBA Vintage Denim Tea Dress for Women","9050","10400","13","Dress","date-night","denim"
"293","W for Woman","W for Woman Ruched Chiffon Evening Dress for Women","6750","7250","7","Dress","date-night","chiffon"
"294","FabIndia","FabIndia Velvet Pleated Sundress for Women","9400","10350","9","Dress","date-night","velvet"
"295","Gucci","Gucci Balloon Sleeve Georgette Dress for Women","200450","227800","12","Dress","date-night","georgette"
"296","Louis Vuitton","Louis Vuitton Embroidered Knit Anarkali for Women","319450","339850","6","Dress","date-night","knit"
"297","Forever 21","Forever 21 Rayon Shirt Dress for Women","1850","2000","7","Dress","date-night","rayon"
"298","H&M","H&M Satin Saree with Blouse for Women","3600","4050","11","Ethnic Set","date-night","satin"
"299","Zara","Zara Polyester Kurta with Palazzo Set for Women","1650","1800","8","Ethnic Set","date-night","polyester"
"300","Mango","Mango Viscose Salwar Kameez Set for Women","4350","4850","10","Ethnic Set","date-night","viscose"
"301","Uniqlo","Uniqlo Cotton Bridal Lehenga Set for Women","2350","2750","14","Ethnic Set","date-night","cotton"
"302","ONLY","ONLY Embroidered Silk Ethnic Set for Women","4350","4850","10","Ethnic Set","date-night","silk"
"303","BIBA","BIBA Linen Kaftan with Pants for Women","8500","8950","5","Ethnic Set","date-night","linen"
"304","W for Woman","W for Woman Denim Kaftan with Pants for Women","6800","7800","13","Ethnic Set","date-night","denim"
"305","FabIndia","FabIndia Chiffon Straight Kurta with Dupatta for Women","8750","9200","5","Ethnic Set","date-night","chiffon"
"306","Gucci","Gucci Velvet Salwar Kameez Set for Women","182100","200100","9","Ethnic Set","date-night","velvet"
"307","Louis Vuitton","Louis Vuitton Georgette Saree with Blouse for Women","613550","652700","6","Ethnic Set","date-night","georgette"
"308","Forever 21","Forever 21 Knit Indo-Western Fusion Set for Women","600","650","8","Ethnic Set","date-night","knit"
"309","H&M","H&M Rayon Bomber Jacket for Women","4650","5300","12","Outerwear","date-night","rayon"
"310","Zara","Zara Satin Blazer for Women","900","1000","8","Outerwear","date-night","satin"
"311","Mango","Mango Polyester Trench Coat for Women","7550","8100","7","Outerwear","date-night","polyester"
"312","Uniqlo","Uniqlo Viscose Puffer Jacket for Women","7150","8150","12","Outerwear","date-night","viscose"
"313","ONLY","ONLY Cotton Cape Jacket for Women","750","850","13","Outerwear","date-night","cotton"
"314","BIBA","BIBA Silk Trench Coat for Women","11100","12900","14","Outerwear","date-night","silk"
"315","W for Woman","W for Woman Linen Cape Jacket for Women","3900","4150","6","Outerwear","date-night","linen"
"316","FabIndia","FabIndia Denim Cape Jacket for Women","12500","14550","14","Outerwear","date-night","denim"
"317","Gucci","Gucci Chiffon Trench Coat for Women","398150","462950","14","Outerwear","date-night","chiffon"
"318","Louis Vuitton","Louis Vuitton Velvet Trench Coat for Women","956250","1062500","10","Outerwear","date-night","velvet"
"319","Forever 21","Forever 21 Georgette Double-Breasted Coat for Women","850","950","12","Outerwear","date-night","georgette"
"320","H&M","H&M Ruched Knit Playsuit for Women","6450","7250","11","Jumpsuit","date-night","knit"
"321","Zara","Zara Halter Neck Rayon Jumpsuit for Women","12300","14000","12","Jumpsuit","date-night","rayon"
"322","Mango","Mango Ruched Satin Playsuit for Women","8850","10050","12","Jumpsuit","date-night","satin"
"323","Uniqlo","Uniqlo Polyester Strapless Jumpsuit for Women","5200","5800","10","Jumpsuit","date-night","polyester"
"324","ONLY","ONLY Viscose Co-ord Set for Women","900","1000","11","Jumpsuit","date-night","viscose"
"325","BIBA","BIBA Cotton Belted Jumpsuit for Women","9550","11100","14","Jumpsuit","date-night","cotton"
"326","W for Woman","W for Woman Halter Neck Silk Jumpsuit for Women","9750","11350","14","Jumpsuit","date-night","silk"
"327","FabIndia","FabIndia Linen Strapless Jumpsuit for Women","8600","9150","6","Jumpsuit","date-night","linen"
"328","Gucci","Gucci Printed Denim Romper for Women","409000","435100","6","Jumpsuit","date-night","denim"
"329","Louis Vuitton","Louis Vuitton Chiffon Wide-Leg Jumpsuit for Women","299750","336800","11","Jumpsuit","date-night","chiffon"
"330","Forever 21","Forever 21 Printed Velvet Romper for Women","1600","1850","14","Jumpsuit","date-night","velvet"
"331","H&M","H&M Sheer Georgette Overlay Top for Women","6700","7450","10","Top","casual","georgette"
"332","Zara","Zara Knit Off-Shoulder Blouse for Women","8700","9550","9","Top","casual","knit"
"333","Mango","Mango Rayon Peplum Top for Women","6400","7350","13","Top","casual","rayon"
"334","Uniqlo","Uniqlo Lace Trim Satin Blouse for Women","900","1000","8","Top","casual","satin"
"335","ONLY","ONLY Solid Polyester Sleeveless Top for Women","1150","1250","8","Top","casual","polyester"
"336","BIBA","BIBA Abstract Print Viscose Top for Women","3900","4450","12","Top","casual","viscose"
"337","W for Woman","W for Woman Cotton Wrap Top with Tie-Up for Women","2350","2650","12","Top","casual","cotton"
"338","FabIndia","FabIndia Silk Cold Shoulder Top for Women","9050","9650","6","Top","casual","silk"
"339","Gucci","Gucci Polka Dot Linen Blouse for Women","426500","490250","13","Top","casual","linen"
"340","Louis Vuitton","Louis Vuitton Denim Smocked Top for Women","727150","790400","8","Top","casual","denim"
"341","Forever 21","Forever 21 Chiffon Button-Down Shirt for Women","1850","1950","5","Top","casual","chiffon"
"342","H&M","H&M Striped Velvet Shorts for Women","5750","6100","6","Bottom","casual","velvet"
"343","Zara","Zara Georgette Cargo Pants for Women","7200","8350","14","Bottom","casual","georgette"
"344","Mango","Mango Knit Pencil Skirt for Women","9950","10450","5","Bottom","casual","knit"
"345","Uniqlo","Uniqlo High-Rise Rayon Jeans for Women","3700","4250","13","Bottom","casual","rayon"
"346","ONLY","ONLY Satin High-Slit Maxi Skirt for Women","4950","5750","14","Bottom","casual","satin"
"347","BIBA","BIBA Polyester Palazzo Pants for Women","8450","9600","12","Bottom","casual","polyester"
"348","W for Woman","W for Woman Viscose Jogger Pants for Women","3850","4200","8","Bottom","casual","viscose"
"349","FabIndia","FabIndia Cotton Cargo Pants for Women","4200","4450","6","Bottom","casual","cotton"
"350","Gucci","Gucci Printed Silk Leggings for Women","49550","53850","8","Bottom","casual","silk"
"351","Louis Vuitton","Louis Vuitton Linen Palazzo Pants for Women","583850","641600","9","Bottom","casual","linen"
"352","Forever 21","Forever 21 Striped Denim Shorts for Women","3650","4200","13","Bottom","casual","denim"
"353","H&M","H&M Printed Chiffon Shift Dress for Women","3950","4650","15","Dress","casual","chiffon"
"354","Zara","Zara Velvet Pleated Sundress for Women","6350","7050","10","Dress","casual","velvet"
"355","Mango","Mango Tiered Georgette Boho Dress for Women","16150","18800","14","Dress","casual","georgette"
"356","Uniqlo","Uniqlo Vintage Knit Tea Dress for Women","2800","3250","14","Dress","casual","knit"
"357","ONLY","ONLY Off-Shoulder Rayon Mini Dress for Women","4650","5000","7","Dress","casual","rayon"
"358","BIBA","BIBA Satin A-Line Party Dress for Women","5200","6050","14","Dress","casual","satin"
"359","W for Woman","W for Woman Polyester Slip-On Maxi Dress for Women","4450","4950","10","Dress","casual","polyester"
"360","FabIndia","FabIndia Viscose Puff Sleeve Dress for Women","9450","10150","7","Dress","casual","viscose"
"361","Gucci","Gucci Cotton Ruffled Wrap Dress for Women","55450","60950","9","Dress","casual","cotton"
"362","Louis Vuitton","Louis Vuitton Silk Puff Sleeve Dress for Women","718850","798700","10","Dress","casual","silk"
"363","Forever 21","Forever 21 Linen A-Line Party Dress for Women","2200","2550","14","Dress","casual","linen"
"364","H&M","H&M Denim Straight Kurta with Dupatta for Women","800","900","11","Ethnic Set","casual","denim"
"365","Zara","Zara Embroidered Chiffon Ethnic Set for Women","5250","6200","15","Ethnic Set","casual","chiffon"
"366","Mango","Mango Velvet Anarkali Suit Set for Women","2200","2350","7","Ethnic Set","casual","velvet"
"367","Uniqlo","Uniqlo Georgette Kurti with Churidar for Women","5850","6150","5","Ethnic Set","casual","georgette"
"368","ONLY","ONLY Knit Kaftan with Pants for Women","6750","7200","6","Ethnic Set","casual","knit"
"369","BIBA","BIBA Rayon Gown Style Kurta for Women","10300","12100","15","Ethnic Set","casual","rayon"
"370","W for Woman","W for Woman Satin Kurta with Palazzo Set for Women","9450","10500","10","Ethnic Set","casual","satin"
"371","FabIndia","FabIndia Polyester Anarkali Suit Set for Women","5300","6250","15","Ethnic Set","casual","polyester"
"372","Gucci","Gucci Embroidered Viscose Ethnic Set for Women","120100","126400","5","Ethnic Set","casual","viscose"
"373","Louis Vuitton","Louis Vuitton Cotton Festival Outfit Set for Women","947650","1030050","8","Ethnic Set","casual","cotton"
"374","Forever 21","Forever 21 Silk Lehenga Choli for Women","1600","1850","14","Ethnic Set","casual","silk"
"375","H&M","H&M Linen Blazer for Women","950","1100","13","Outerwear","casual","linen"
"376","Zara","Zara Denim Double-Breasted Coat for Women","7400","8600","14","Outerwear","casual","denim"
"377","Mango","Mango Chiffon Cape Jacket for Women","3050","3250","6","Outerwear","casual","chiffon"
"378","Uniqlo","Uniqlo Velvet Puffer Jacket for Women","3750","4050","7","Outerwear","casual","velvet"
"379","ONLY","ONLY Georgette Denim Jacket for Women","4000","4450","10","Outerwear","casual","georgette"
"380","BIBA","BIBA Knit Cape Jacket for Women","6500","7400","12","Outerwear","casual","knit"
"381","W for Woman","W for Woman Rayon Bomber Jacket for Women","5050","5650","11","Outerwear","casual","rayon"
"382","FabIndia","FabIndia Satin Bomber Jacket for Women","600","650","7","Outerwear","casual","satin"
"383","Gucci","Gucci Polyester Trench Coat for Women","36200","39350","8","Outerwear","casual","polyester"
"384","Louis Vuitton","Louis Vuitton Viscose Puffer Jacket for Women","232300","270100","14","Outerwear","casual","viscose"
"385","Forever 21","Forever 21 Cotton Denim Jacket for Women","1300","1500","13","Outerwear","casual","cotton"
"386","H&M","H&M Off-Shoulder Silk Jumpsuit for Women","7350","7900","7","Jumpsuit","casual","silk"
"387","Zara","Zara Linen Strapless Jumpsuit for Women","9000","10350","13","Jumpsuit","casual","linen"
"388","Mango","Mango Denim Co-ord Set for Women","4050","4500","10","Jumpsuit","casual","denim"
"389","Uniqlo","Uniqlo Chiffon Strapless Jumpsuit for Women","4550","4950","8","Jumpsuit","casual","chiffon"
"390","ONLY","ONLY Halter Neck Velvet Jumpsuit for Women","5800","6800","15","Jumpsuit","casual","velvet"
"391","BIBA","BIBA Georgette Strapless Jumpsuit for Women","9400","10550","11","Jumpsuit","casual","georgette"
"392","W for Woman","W for Woman Printed Knit Romper for Women","10000","11350","12","Jumpsuit","casual","knit"
"393","FabIndia","FabIndia Off-Shoulder Rayon Jumpsuit for Women","9500","10200","7","Jumpsuit","casual","rayon"
"394","Gucci","Gucci Satin Strapless Jumpsuit for Women","467250","530950","12","Jumpsuit","casual","satin"
"395","Louis Vuitton","Louis Vuitton Polyester Belted Jumpsuit for Women","346700","381000","9","Jumpsuit","casual","polyester"
"396","Forever 21","Forever 21 Floral Viscose Playsuit for Women","3400","3800","11","Jumpsuit","casual","viscose"
"397","H&M","H&M Cotton Peplum Top for Women","5550","6400","13","Top","ethnic","cotton"
"398","Zara","Zara Silk Smocked Top for Women","10700","11400","6","Top","ethnic","silk"
"399","Mango","Mango Polka Dot Linen Blouse for Women","9750","10350","6","Top","ethnic","linen"
"400","Uniqlo","Uniqlo Denim Button-Down Shirt for Women","9800","11550","15","Top","ethnic","denim"
"401","ONLY","ONLY Chiffon Halter Neck Top for Women","4150","4550","9","Top","ethnic","chiffon"
"402","BIBA","BIBA Velvet Wrap Top with Tie-Up for Women","4750","5500","14","Top","ethnic","velvet"
"403","W for Woman","W for Woman Striped Georgette Shirt for Women","8650","10050","14","Top","ethnic","georgette"
"404","FabIndia","FabIndia Abstract Print Knit Top for Women","6400","7100","10","Top","ethnic","knit"
"405","Gucci","Gucci Rayon Halter Neck Top for Women","260300","292450","11","Top","ethnic","rayon"
"406","Louis Vuitton","Louis Vuitton Satin V-Neck Fitted Top for Women","857000","952200","10","Top","ethnic","satin"
"407","Forever 21","Forever 21 Abstract Print Polyester Top for Women","2200","2350","6","Top","ethnic","polyester"
"408","H&M","H&M Pleated Viscose Mini Skirt for Women","7050","7650","8","Bottom","ethnic","viscose"
"409","Zara","Zara Cotton Jogger Pants for Women","8350","9700","14","Bottom","ethnic","cotton"
"410","Mango","Mango Silk Palazzo Pants for Women","3300","3800","13","Bottom","ethnic","silk"
"411","Uniqlo","Uniqlo Floral Linen Midi Skirt for Women","3050","3600","15","Bottom","ethnic","linen"
"412","ONLY","ONLY Denim Palazzo Pants for Women","4700","5300","11","Bottom","ethnic","denim"
"413","BIBA","BIBA High-Rise Chiffon Jeans for Women","10950","11900","8","Bottom","ethnic","chiffon"
"414","W for Woman","W for Woman Striped Velvet Shorts for Women","4150","4600","10","Bottom","ethnic","velvet"
"415","FabIndia","FabIndia Striped Georgette Shorts for Women","3150","3650","14","Bottom","ethnic","georgette"
"416","Gucci","Gucci Flared Knit Skirt for Women","310950","349400","11","Bottom","ethnic","knit"
"417","Louis Vuitton","Louis Vuitton Floral Rayon Midi Skirt for Women","54550","58050","6","Bottom","ethnic","rayon"
"418","Forever 21","Forever 21 Striped Satin Shorts for Women","2800","3150","11","Bottom","ethnic","satin"
"419","H&M","H&M Embroidered Polyester Anarkali for Women","3500","3750","7","Dress","ethnic","polyester"
"420","Zara","Zara Viscose Ruffled Wrap Dress for Women","14900","15700","5","Dress","ethnic","viscose"
"421","Mango","Mango Cotton Bodycon Midi Dress for Women","3850","4450","13","Dress","ethnic","cotton"
"422","Uniqlo","Uniqlo Silk Bodycon Midi Dress for Women","5450","6050","10","Dress","ethnic","silk"
"423","ONLY","ONLY Printed Linen Shift Dress for Women","4750","5200","9","Dress","ethnic","linen"
"424","BIBA","BIBA Denim Bodycon Midi Dress for Women","11650","12650","8","Dress","ethnic","denim"
"425","W for Woman","W for Woman Tiered Chiffon Boho Dress for Women","7300","8400","13","Dress","ethnic","chiffon"
"426","FabIndia","FabIndia Sequin Velvet Cocktail Dress for Women","15000","15800","5","Dress","ethnic","velvet"
"427","Gucci","Gucci Embroidered Georgette Anarkali for Women","177950","193400","8","Dress","ethnic","georgette"
"428","Louis Vuitton","Louis Vuitton Tiered Knit Boho Dress for Women","384050","408550","6","Dress","ethnic","knit"
"429","Forever 21","Forever 21 Rayon Pleated Sundress for Women","950","1000","5","Dress","ethnic","rayon"
"430","H&M","H&M Satin Festival Outfit Set for Women","700","800","13","Ethnic Set","ethnic","satin"
"431","Zara","Zara Polyester Salwar Kameez Set for Women","11250","12500","10","Ethnic Set","ethnic","polyester"
"432","Mango","Mango Viscose Gown Style Kurta for Women","1700","1800","5","Ethnic Set","ethnic","viscose"
"433","Uniqlo","Uniqlo Cotton Bridal Lehenga Set for Women","3500","3900","10","Ethnic Set","ethnic","cotton"
"434","ONLY","ONLY Silk Festival Outfit Set for Women","7250","7800","7","Ethnic Set","ethnic","silk"
"435","BIBA","BIBA Linen Indo-Western Fusion Set for Women","8350","8800","5","Ethnic Set","ethnic","linen"
"436","W for Woman","W for Woman Denim Gown Style Kurta for Women","3100","3500","11","Ethnic Set","ethnic","denim"
"437","FabIndia","FabIndia Chiffon Bridal Lehenga Set for Women","2450","2750","11","Ethnic Set","ethnic","chiffon"
"438","Gucci","Gucci Velvet Anarkali Suit Set for Women","278350","293000","5","Ethnic Set","ethnic","velvet"
"439","Louis Vuitton","Louis Vuitton Georgette Bridal Lehenga Set for Women","911250","1001350","9","Ethnic Set","ethnic","georgette"
"440","Forever 21","Forever 21 Knit Patiala Suit Set for Women","2050","2400","15","Ethnic Set","ethnic","knit"
"441","H&M","H&M Rayon Cape Jacket for Women","1150","1200","5","Outerwear","ethnic","rayon"
"442","Zara","Zara Satin Blazer for Women","5100","5750","11","Outerwear","ethnic","satin"
"443","Mango","Mango Polyester Blazer for Women","16250","17850","9","Outerwear","ethnic","polyester"
"444","Uniqlo","Uniqlo Viscose Cape Jacket for Women","6050","6600","8","Outerwear","ethnic","viscose"
"445","ONLY","ONLY Cropped Cotton Jacket for Women","6750","7950","15","Outerwear","ethnic","cotton"
"446","BIBA","BIBA Cropped Silk Jacket for Women","11650","13550","14","Outerwear","ethnic","silk"
"447","W for Woman","W for Woman Linen Shrug for Women","6850","7950","14","Outerwear","ethnic","linen"
"448","FabIndia","FabIndia Denim Denim Jacket for Women","8450","9950","15","Outerwear","ethnic","denim"
"449","Gucci","Gucci Chiffon Bomber Jacket for Women","216350","240400","10","Outerwear","ethnic","chiffon"
"450","Louis Vuitton","Louis Vuitton Velvet Shrug for Women","589250","677300","13","Outerwear","ethnic","velvet"
"451","Forever 21","Forever 21 Cropped Georgette Jacket for Women","2750","3100","11","Outerwear","ethnic","georgette"
"452","H&M","H&M Printed Knit Romper for Women","2350","2600","10","Jumpsuit","ethnic","knit"
"453","Zara","Zara Printed Rayon Romper for Women","10400","12100","14","Jumpsuit","ethnic","rayon"
"454","Mango","Mango Off-Shoulder Satin Jumpsuit for Women","3850","4150","7","Jumpsuit","ethnic","satin"
"455","Uniqlo","Uniqlo Off-Shoulder Polyester Jumpsuit for Women","2900","3250","11","Jumpsuit","ethnic","polyester"
"456","ONLY","ONLY Viscose Strapless Jumpsuit for Women","3200","3500","8","Jumpsuit","ethnic","viscose"
"457","BIBA","BIBA Cotton Belted Jumpsuit for Women","9250","10650","13","Jumpsuit","ethnic","cotton"
"458","W for Woman","W for Woman Silk Co-ord Set for Women","4400","4950","11","Jumpsuit","ethnic","silk"
"459","FabIndia","FabIndia Off-Shoulder Linen Jumpsuit for Women","950","1100","12","Jumpsuit","ethnic","linen"
"460","Gucci","Gucci Ruched Denim Playsuit for Women","454150","488350","7","Jumpsuit","ethnic","denim"
"461","Louis Vuitton","Louis Vuitton Chiffon Belted Jumpsuit for Women","206950","224950","8","Jumpsuit","ethnic","chiffon"
"462","Forever 21","Forever 21 Floral Velvet Playsuit for Women","700","800","15","Jumpsuit","ethnic","velvet"
"463","H&M","H&M Georgette Smocked Top for Women","650","750","15","Top","casual","georgette"
"464","Zara","Zara Knit Halter Neck Top for Women","14300","15900","10","Top","casual","knit"
"465","Mango","Mango Polka Dot Rayon Blouse for Women","2800","3200","13","Top","casual","rayon"
"466","Uniqlo","Uniqlo Satin Cold Shoulder Top for Women","1600","1750","9","Top","casual","satin"
"467","ONLY","ONLY Cutout Detail Polyester Top for Women","3350","3750","11","Top","casual","polyester"
"468","BIBA","BIBA Tie-Dye Viscose Tank Top for Women","8650","9400","8","Top","casual","viscose"
"469","W for Woman","W for Woman Sheer Cotton Overlay Top for Women","5350","6000","11","Top","casual","cotton"
"470","FabIndia","FabIndia Silk Cold Shoulder Top for Women","10350","12050","14","Top","casual","silk"
"471","Gucci","Gucci Linen Peplum Top for Women","492600","572800","14","Top","casual","linen"
"472","Louis Vuitton","Louis Vuitton Denim Smocked Top for Women","245850","279400","12","Top","casual","denim"
"473","Forever 21","Forever 21 Printed Chiffon Casual Top for Women","1900","2100","9","Top","casual","chiffon"
"474","H&M","H&M Striped Velvet Shorts for Women","6300","6850","8","Bottom","casual","velvet"
"475","Zara","Zara Georgette Cargo Pants for Women","7700","8350","8","Bottom","casual","georgette"
"476","Mango","Mango Knit Layered Skirt for Women","16350","18150","10","Bottom","casual","knit"
"477","Uniqlo","Uniqlo Rayon High-Slit Maxi Skirt for Women","4650","5400","14","Bottom","casual","rayon"
"478","ONLY","ONLY Pleated Satin Mini Skirt for Women","2200","2350","7","Bottom","casual","satin"
"479","BIBA","BIBA High-Rise Polyester Jeans for Women","6050","6350","5","Bottom","casual","polyester"
"480","W for Woman","W for Woman Viscose Pencil Skirt for Women","5200","5550","6","Bottom","casual","viscose"
"481","FabIndia","FabIndia Cotton Pencil Skirt for Women","7400","8200","10","Bottom","casual","cotton"
"482","Gucci","Gucci Flared Silk Skirt for Women","360500","396150","9","Bottom","casual","silk"
"483","Louis Vuitton","Louis Vuitton Linen Wide-Leg Trousers for Women","504700","580100","13","Bottom","casual","linen"
"484","Forever 21","Forever 21 Ethnic Denim Patiala for Women","2850","3300","14","Bottom","casual","denim"
"485","H&M","H&M Chiffon Shirt Dress for Women","600","700","13","Dress","casual","chiffon"
"486","Zara","Zara Floral Velvet Maxi Dress for Women","13200","13900","5","Dress","casual","velvet"
"487","Mango","Mango Off-Shoulder Georgette Mini Dress for Women","7200","8450","15","Dress","casual","georgette"
"488","Uniqlo","Uniqlo Knit Asymmetric Hem Dress for Women","6400","7200","11","Dress","casual","knit"
"489","ONLY","ONLY Floral Rayon Maxi Dress for Women","2350","2600","10","Dress","casual","rayon"
"490","BIBA","BIBA Ruched Satin Evening Dress for Women","1650","1850","11","Dress","casual","satin"
"491","W for Woman","W for Woman Floral Polyester Maxi Dress for Women","2150","2300","6","Dress","casual","polyester"
"492","FabIndia","FabIndia Viscose A-Line Party Dress for Women","3000","3400","12","Dress","casual","viscose"
"493","Gucci","Gucci Wrap Cotton Dress for Women","104650","116300","10","Dress","casual","cotton"
"494","Louis Vuitton","Louis Vuitton Silk Slip-On Maxi Dress for Women","187000","196850","5","Dress","casual","silk"
"495","Forever 21","Forever 21 Linen Asymmetric Hem Dress for Women","1150","1300","10","Dress","casual","linen"
"496","H&M","H&M Denim Sharara Set for Women","6650","7650","13","Ethnic Set","casual","denim"
"497","Zara","Zara Chiffon Patiala Suit Set for Women","13350","15000","11","Ethnic Set","casual","chiffon"
"498","Mango","Mango Velvet Straight Kurta with Dupatta for Women","15850","17800","11","Ethnic Set","casual","velvet"
"499","Uniqlo","Uniqlo Georgette Straight Kurta with Dupatta for Women","5000","5400","7","Ethnic Set","casual","georgette"
"500","ONLY","ONLY Knit Saree with Blouse for Women","3150","3550","11","Ethnic Set","casual","knit"